,sensor [K-33 ELG],,,
,CO2,Temperature,Humidity,
01.01.00 1:00:45.000,"558","22,24","49,17",
01.01.00 1:01:05.000,"557","22,32","50,43",
01.01.00 1:01:25.000,"561","22,38","51,12",
01.01.00 1:01:45.000,"557","22,47","51,68",
01.01.00 1:02:05.000,"555","22,53","52,15",
01.01.00 1:02:25.000,"554","22,59","52,53",
01.01.00 1:02:45.000,"554","22,65","52,69",
01.01.00 1:03:05.000,"555","22,71","52,84",
01.01.00 1:03:25.000,"555","22,74","53,19",
01.01.00 1:03:45.000,"560","22,75","53,57",
01.01.00 1:04:05.000,"564","22,77","53,82",
01.01.00 1:04:25.000,"572","22,77","54,1",
01.01.00 1:04:45.000,"579","22,78","54,26",
01.01.00 1:05:05.000,"584","22,81","54,48",
01.01.00 1:05:25.000,"588","22,81","54,7",
01.01.00 1:05:45.000,"595","22,81","54,85",
01.01.00 1:06:05.000,"601","22,8","55,07",
01.01.00 1:06:25.000,"605","22,82","55,23",
01.01.00 1:06:45.000,"611","22,83","55,42",
01.01.00 1:07:05.000,"617","22,83","55,64",
01.01.00 1:07:25.000,"620","22,84","55,76",
01.01.00 1:07:45.000,"627","22,84","55,95",
01.01.00 1:08:05.000,"631","22,85","56,11",
01.01.00 1:08:25.000,"620","22,85","56,01",
01.01.00 1:08:45.000,"591","22,85","55,54",
01.01.00 1:09:05.000,"574","22,84","55,48",
01.01.00 1:09:25.000,"562","22,86","55,57",
01.01.00 1:09:45.000,"557","22,89","55,67",
01.01.00 1:10:05.000,"557","22,92","55,79",
01.01.00 1:10:25.000,"553","22,92","55,95",
01.01.00 1:10:45.000,"549","22,93","56,14",
01.01.00 1:11:05.000,"551","22,96","56,23",
01.01.00 1:11:25.000,"550","22,97","56,48",
01.01.00 1:11:45.000,"560","22,95","57,05",
01.01.00 1:12:05.000,"560","22,95","57,33",
01.01.00 1:12:25.000,"570","22,95","57,55",
01.01.00 1:12:45.000,"574","22,94","57,68",
01.01.00 1:13:05.000,"582","22,94","57,86",
01.01.00 1:13:25.000,"586","22,93","58,02",
01.01.00 1:13:45.000,"593","22,94","58,15",
01.01.00 1:14:05.000,"599","22,94","58,3",
01.01.00 1:14:25.000,"603","22,93","58,4",
01.01.00 1:14:45.000,"610","22,93","58,55",
01.01.00 1:15:05.000,"616","22,93","58,65",
01.01.00 1:15:25.000,"622","22,92","58,77",
01.01.00 1:15:45.000,"624","22,9","58,89",
01.01.00 1:16:05.000,"632","22,91","59,01",
01.01.00 1:16:25.000,"619","22,92","58,83",
01.01.00 1:16:45.000,"592","22,95","58,05",
01.01.00 1:17:05.000,"577","22,95","57,93",
01.01.00 1:17:25.000,"565","22,97","57,89",
01.01.00 1:17:45.000,"558","22,95","57,96",
01.01.00 1:18:05.000,"552","22,97","57,99",
01.01.00 1:18:25.000,"551","22,97","57,96",
01.01.00 1:18:45.000,"553","22,99","57,86",
01.01.00 1:19:05.000,"549","22,99","57,83",
01.01.00 1:19:25.000,"551","22,99","58,08",
01.01.00 1:19:45.000,"557","23","58,77",
01.01.00 1:20:05.000,"561","23,01","59,07",
01.01.00 1:20:25.000,"569","22,99","59,26",
01.01.00 1:20:45.000,"575","22,99","59,47",
01.01.00 1:21:05.000,"581","22,98","59,62",
01.01.00 1:21:25.000,"587","22,97","59,75",
01.01.00 1:21:45.000,"593","22,97","59,87",
01.01.00 1:22:05.000,"598","23","59,99",
01.01.00 1:22:25.000,"604","22,99","60,11",
01.01.00 1:22:45.000,"608","22,99","60,24",
01.01.00 1:23:05.000,"611","22,97","60,36",
01.01.00 1:23:25.000,"618","22,98","60,48",
01.01.00 1:23:45.000,"622","22,98","60,6",
01.01.00 1:24:05.000,"630","22,98","60,7",
01.01.00 1:24:25.000,"615","22,98","60,51",
01.01.00 1:24:45.000,"590","23,01","59,56",
01.01.00 1:25:05.000,"572","23,03","59,26",
01.01.00 1:25:25.000,"561","23,04","59,14",
01.01.00 1:25:45.000,"556","23,03","59,04",
01.01.00 1:26:05.000,"550","23,06","59,04",
01.01.00 1:26:25.000,"549","23,06","59,01",
01.01.00 1:26:45.000,"551","23,1","59,07",
01.01.00 1:27:05.000,"549","23,1","59,1",
01.01.00 1:27:25.000,"552","23,13","59,32",
01.01.00 1:27:45.000,"556","23,12","60,05",
01.01.00 1:28:05.000,"562","23,13","60,39",
01.01.00 1:28:25.000,"569","23,12","60,66",
